"requirement_id","source_artifact","source_representative","srs_section","use_case_id","prototype","domain_model","test_case_id","nfr_link","change_or_review_link","trace_status"
"REQ-STU-01","需求获取记录(RG);师生访谈记录;问卷","陈鹏宇","SRS 3.1","UC-STU-01","main-chat-mobile.fig","Student;Course;CourseSchedule","TC-STU-01","NFR-PERF;NFR-SEC","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-02","需求获取记录(RG);师生访谈记录;问卷","陈鹏宇","SRS 3.2","UC-STU-02","main-chat-mobile.fig","Student;Exam","TC-STU-02","NFR-PERF;NFR-SEC","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-03","需求获取记录(RG);师生访谈记录;问卷","陈鹏宇","SRS 3.3","UC-STU-03","main-chat-mobile.fig","Student;Grade","TC-STU-03","NFR-SEC;NFR-PRIV","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-04","需求获取记录(RG);JAD会议记录","陈鹏宇","SRS 3.4","UC-STU-04","procedure-flow.fig","KnowledgeEntry;Procedure","TC-STU-04","NFR-USAB;NFR-MAINT","CR-05;CR-08;CR-13;RB-R2","闭环"
"REQ-STU-05","问卷;需求获取记录(RG)","陈鹏宇","SRS 3.5","UC-STU-05","main-chat-mobile.fig","KnowledgeEntry;Facility","TC-STU-05","NFR-USAB","CR-08;CR-13","闭环"
"REQ-STU-06","师生访谈记录;教师确认记录","陈鹏宇;杨成","SRS 3.6","UC-STU-06","main-chat-mobile.fig","Teacher","TC-STU-06","NFR-PRIV","CR-08;CR-13","闭环"
"REQ-STU-07","问卷;JAD会议记录","陈鹏宇","SRS 3.7","UC-STU-07","main-chat-mobile.fig","Classroom;Schedule","TC-STU-07","NFR-PERF","CR-08;CR-13","闭环"
"REQ-STU-08","问卷;教务资料","陈鹏宇","SRS 3.8","UC-STU-08","main-chat-mobile.fig","Calendar","TC-STU-08","NFR-USAB","CR-08;CR-13","闭环"
"REQ-STU-09","师生访谈记录","陈鹏宇","SRS 3.9","UC-STU-09","main-chat-mobile.fig","Student;Credit","TC-STU-09","NFR-SEC;NFR-PRIV","CR-08;CR-13","闭环"
"REQ-STU-10","问卷","陈鹏宇","SRS 3.10","UC-STU-10","main-chat-mobile.fig","Activity","TC-STU-10","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-02","研究生访谈;学院资料","研究生代表","SRS 3.11","UC-GRA-02","main-chat-mobile.fig","Teacher;ResearchArea","TC-GRA-02","NFR-PRIV","CR-08;CR-13","闭环"
"REQ-GRA-03","研究生访谈;培养办资料","研究生代表","SRS 3.12","UC-GRA-03","main-chat-mobile.fig","TrainingPlan","TC-GRA-03","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-04","研究生访谈","研究生代表","SRS 3.13","UC-GRA-04","main-chat-mobile.fig","ThesisProcess","TC-GRA-04","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-05","研究生访谈;实验室资料","研究生代表","SRS 3.14","UC-GRA-05","main-chat-mobile.fig","Lab;Equipment","TC-GRA-05","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-06","问卷;学院通知","研究生代表","SRS 3.15","UC-GRA-06","main-chat-mobile.fig","AcademicEvent","TC-GRA-06","NFR-USAB","CR-08;CR-13","闭环"
"REQ-GRA-07","助教访谈","研究生代表","SRS 3.16","UC-GRA-07","main-chat-mobile.fig","TAPosition","TC-GRA-07","NFR-USAB","CR-08;CR-13","闭环"
"REQ-TEA-01","教师访谈;JAD会议记录","杨成","SRS 3.17","UC-TEA-01","main-chat-mobile.fig","Teacher;CourseSchedule","TC-TEA-01","NFR-PERF;NFR-SEC","CR-05;CR-08;CR-13","闭环"
"REQ-TEA-02","教师访谈","杨成","SRS 3.18","UC-TEA-02","main-chat-mobile.fig","Student;Class","TC-TEA-02","NFR-SEC;NFR-PRIV","CR-05;CR-08;CR-13","闭环"
"REQ-TEA-03","教师访谈;教务资料","杨成","SRS 3.19","UC-TEA-03","main-chat-mobile.fig","Teacher;ExamInvigilation","TC-TEA-03","NFR-PERF","CR-05;CR-08;CR-13","闭环"
"REQ-TEA-04","教师访谈","杨成","SRS 3.20","UC-TEA-04","main-chat-mobile.fig","TeachingCalendar","TC-TEA-04","NFR-USAB","CR-08;CR-13","闭环"
"REQ-TEA-05","教师访谈;行政资料","杨成","SRS 3.21","UC-TEA-05","procedure-flow.fig","KnowledgeEntry;Procedure","TC-TEA-05","NFR-USAB","CR-08;CR-13","闭环"
"REQ-TEA-06","教师访谈;制度文件","杨成","SRS 3.22","UC-TEA-06","main-chat-mobile.fig","KnowledgeEntry;Regulation","TC-TEA-06","NFR-USAB","CR-08;CR-13","闭环"
"REQ-TEA-07","教师访谈","杨成","SRS 3.23","UC-TEA-07","main-chat-mobile.fig","ResearchProject","TC-TEA-07","NFR-USAB","CR-08;CR-13","闭环"
"REQ-COU-01","辅导员访谈;JAD会议记录","辅导员代表","SRS 3.24","UC-COU-01","main-chat-mobile.fig","Student;Counselor","TC-COU-01","NFR-SEC;NFR-PRIV","CR-05;CR-08;CR-13","闭环"
"REQ-COU-02","辅导员访谈","辅导员代表","SRS 3.25","UC-COU-02","main-chat-mobile.fig","Student;Warning","TC-COU-02","NFR-SEC;NFR-PRIV","CR-05;CR-08;CR-13","闭环"
"REQ-COU-03","辅导员访谈","辅导员代表","SRS 3.26","UC-COU-03","main-chat-mobile.fig","LeaveRequest;Procedure","TC-COU-03","NFR-USAB","CR-08;CR-13","闭环"
"REQ-COU-04","辅导员访谈;政策文件","辅导员代表","SRS 3.27","UC-COU-04","main-chat-mobile.fig","AidPolicy","TC-COU-04","NFR-USAB","CR-08;CR-13","闭环"
"REQ-COU-05","辅导员访谈;制度文件","辅导员代表","SRS 3.28","UC-COU-05","main-chat-mobile.fig","DisciplineRegulation","TC-COU-05","NFR-USAB","CR-08;CR-13","闭环"
"REQ-COU-06","辅导员访谈","辅导员代表","SRS 3.29","UC-COU-06","main-chat-mobile.fig","JobInfo","TC-COU-06","NFR-USAB","CR-08;CR-13","闭环"
"REQ-ADM-01","管理员访谈;JAD会议记录","苏奎","SRS 3.30","UC-ADM-01","admin-dashboard.fig","KnowledgeEntry;Category","TC-ADM-01","NFR-MAINT;NFR-AUDIT","CR-05;CR-08;CR-13","闭环"
"REQ-ADM-02","管理员访谈","苏奎","SRS 3.31","UC-ADM-02","admin-dashboard.fig","Stats","TC-ADM-02","NFR-PERF","CR-05;CR-08;CR-13","闭环"
"REQ-ADM-03","管理员访谈","苏奎","SRS 3.32","UC-ADM-03","admin-dashboard.fig","KnowledgeEntry","TC-ADM-03","NFR-MAINT","CR-08;CR-13","闭环"
"REQ-ADM-04","管理员访谈","苏奎","SRS 3.33","UC-ADM-04","admin-dashboard.fig","Category","TC-ADM-04","NFR-MAINT","CR-08;CR-13","闭环"
"REQ-ADM-05","管理员访谈;用户反馈","苏奎","SRS 3.34","UC-ADM-05","admin-dashboard.fig","UnmatchedQuery","TC-ADM-05","NFR-MAINT","CR-08;CR-13","闭环"
"REQ-ADM-06","管理员访谈;安全要求","苏奎","SRS 3.35","UC-ADM-06","admin-dashboard.fig","SensitiveWord","TC-ADM-06","NFR-SEC","CR-08;CR-13","闭环"
"REQ-ADM-07","管理员访谈;运维要求","苏奎","SRS 3.36","UC-ADM-07","admin-dashboard.fig","SystemStatus","TC-ADM-07","NFR-AVAIL;NFR-OPS","CR-08;CR-13","闭环"
"REQ-PAR-01","家长问卷;公开资料","家长代表","SRS 3.37","UC-PAR-01","main-chat-mobile.fig","KnowledgeEntry","TC-PAR-01","NFR-USAB","CR-06;CR-08;CR-13","闭环"
"REQ-PAR-02","家长问卷;隐私评审","家长代表","SRS 3.38","UC-PAR-02","main-chat-mobile.fig","Student;ParentAuth","TC-PAR-02","NFR-SEC;NFR-PRIV","CR-06;CR-08;CR-13","闭环"
"REQ-PAR-03","家长问卷;财务资料","家长代表","SRS 3.39","UC-PAR-03","main-chat-mobile.fig","FeeInfo","TC-PAR-03","NFR-SEC","CR-06;CR-08;CR-13","闭环"
"REQ-PAR-04","家长问卷;学校通知","家长代表","SRS 3.40","UC-PAR-04","main-chat-mobile.fig","Notification","TC-PAR-04","NFR-USAB","CR-06;CR-08;CR-13","闭环"
"REQ-PAR-05","家长问卷","家长代表","SRS 3.41","UC-PAR-05","main-chat-mobile.fig","Activity","TC-PAR-05","NFR-USAB","CR-06;CR-08;CR-13","闭环"
"REQ-VIS-01","考生问卷;招生资料","考生代表","SRS 3.42","UC-VIS-01","main-chat-mobile.fig","EnrollmentInfo","TC-VIS-01","NFR-USAB","CR-06;CR-08;CR-13","闭环"
"REQ-VIS-02","考生问卷;院系资料","考生代表","SRS 3.43","UC-VIS-02","main-chat-mobile.fig","MajorInfo","TC-VIS-02","NFR-USAB","CR-06;CR-08;CR-13","闭环"
"REQ-VIS-03","考生问卷;公开资料","考生代表","SRS 3.44","UC-VIS-03","main-chat-mobile.fig","CampusInfo","TC-VIS-03","NFR-USAB;NFR-COMPAT","CR-06;CR-08;CR-13","闭环"
"REQ-VIS-04","考生问卷;公开资料","考生代表","SRS 3.45","UC-VIS-04","main-chat-mobile.fig","TransportInfo","TC-VIS-04","NFR-USAB;NFR-COMPAT","CR-06;CR-08;CR-13","闭环"
"REQ-VIS-05","考生问卷;原型评审","考生代表","SRS 3.46","UC-VIS-05","main-chat-mobile.fig","CampusMap","TC-VIS-05","NFR-USAB;NFR-COMPAT","CR-06;CR-08;CR-13","闭环"
"COM-REQ-01","JAD会议记录;技术评审","全体用户代表","SRS 3.47","UC-COM-00","main-chat-mobile.fig","Intent;Entity","TC-COM-00","NFR-PERF;NFR-USAB","CR-05;CR-13;CR-16","闭环"
"COM-REQ-02","管理员访谈;安全评审","苏奎","SRS 3.48","UC-COM-01","login.fig","User;AuthSystem","TC-COM-01","NFR-SEC;NFR-PRIV","CR-03;CR-05;CR-13","闭环"
"COM-REQ-03","原型评审;移动端反馈","全体用户代表","SRS 3.49","UC-COM-04","main-chat-mobile.fig","ClientDevice;Viewport","TC-COM-04","NFR-COMPAT;NFR-USAB","CR-06;CR-13","闭环"
"COM-REQ-04","JAD会议记录;管理员访谈","苏奎","SRS 3.50","UC-COM-05","main-chat-mobile.fig","UnmatchedQuery;Ticket","TC-COM-05","NFR-MAINT;NFR-USAB","CR-05;CR-13","闭环"
"COM-REQ-05","用户访谈;隐私评审","全体用户代表","SRS 3.51","UC-COM-03","history.fig","Conversation;Message","TC-COM-03","NFR-SEC;NFR-PRIV","CR-08;CR-13","闭环"
"COM-REQ-06","原型评审;用户反馈","全体用户代表","SRS 3.52","UC-COM-02","main-chat-mobile.fig","Feedback","TC-COM-02","NFR-USAB;NFR-MAINT","CR-07;CR-13","闭环"
"COM-REQ-07","安全评审;隐私要求","全体用户代表","SRS 3.53","UC-COM-06","login.fig;admin-dashboard.fig","Permission;AuditLog","TC-COM-06","NFR-SEC;NFR-PRIV;NFR-AUDIT","CR-05;CR-13;CR-16","闭环"
